21081: done 1426 episodes, mean reward -0.005, speed 68.70 f/s
21152: done 1431 episodes, mean reward -0.005, speed 70.34 f/s
21223: done 1436 episodes, mean reward -0.005, speed 67.11 f/s
21294: done 1441 episodes, mean reward -0.005, speed 64.10 f/s
21366: done 1446 episodes, mean reward -0.005, speed 71.10 f/s
21437: done 1451 episodes, mean reward -0.005, speed 63.96 f/s
21522: done 1457 episodes, mean reward -0.005, speed 72.49 f/s
21593: done 1462 episodes, mean reward -0.005, speed 68.46 f/s
21672: done 1467 episodes, mean reward -0.005, speed 69.07 f/s
21744: done 1472 episodes, mean reward -0.005, speed 71.30 f/s
21843: done 1477 episodes, mean reward -0.005, speed 69.01 f/s
21922: done 1481 episodes, mean reward -0.004, speed 75.13 f/s
21993: done 1486 episodes, mean reward -0.004, speed 67.15 f/s
22064: done 1491 episodes, mean reward -0.004, speed 69.66 f/s
22135: done 1496 episodes, mean reward -0.004, speed 65.59 f/s
22208: done 1501 episodes, mean reward -0.004, speed 68.90 f/s
22283: done 1505 episodes, mean reward -0.004, speed 67.51 f/s
22354: done 1510 episodes, mean reward -0.004, speed 70.94 f/s
22426: done 1515 episodes, mean reward -0.004, speed 68.67 f/s
22497: done 1520 episodes, mean reward -0.004, speed 70.94 f/s
22568: done 1525 episodes, mean reward -0.004, speed 70.38 f/s
22639: done 1530 episodes, mean reward -0.004, speed 70.10 f/s
22710: done 1535 episodes, mean reward -0.004, speed 65.18 f/s
22781: done 1540 episodes, mean reward -0.004, speed 70.05 f/s
22852: done 1545 episodes, mean reward -0.004, speed 67.52 f/s
22923: done 1550 episodes, mean reward -0.004, speed 67.62 f/s
22994: done 1555 episodes, mean reward -0.004, speed 69.83 f/s
23066: done 1560 episodes, mean reward -0.004, speed 69.49 f/s
23137: done 1565 episodes, mean reward -0.004, speed 70.61 f/s
23211: done 1570 episodes, mean reward -0.004, speed 68.94 f/s
23295: done 1576 episodes, mean reward -0.004, speed 71.09 f/s
23366: done 1581 episodes, mean reward -0.004, speed 69.14 f/s
23437: done 1586 episodes, mean reward -0.004, speed 69.83 f/s
23508: done 1591 episodes, mean reward -0.004, speed 68.39 f/s
23593: done 1597 episodes, mean reward -0.004, speed 71.98 f/s
23666: done 1602 episodes, mean reward -0.004, speed 67.08 f/s
23754: done 1607 episodes, mean reward -0.004, speed 71.12 f/s
23827: done 1611 episodes, mean reward -0.004, speed 65.35 f/s
23902: done 1615 episodes, mean reward -0.003, speed 66.15 f/s
23993: done 1619 episodes, mean reward -0.002, speed 72.80 f/s
24076: done 1622 episodes, mean reward -0.001, speed 67.50 f/s
24146: done 1627 episodes, mean reward -0.001, speed 69.73 f/s
24237: done 1632 episodes, mean reward -0.001, speed 68.48 f/s
24310: done 1636 episodes, mean reward -0.000, speed 67.52 f/s
24383: done 1640 episodes, mean reward 0.000, speed 71.36 f/s
24455: done 1644 episodes, mean reward 0.001, speed 69.36 f/s
24531: done 1648 episodes, mean reward 0.001, speed 70.38 f/s
24609: done 1652 episodes, mean reward 0.002, speed 67.55 f/s
24685: done 1656 episodes, mean reward 0.002, speed 72.13 f/s
24756: done 1661 episodes, mean reward 0.002, speed 66.04 f/s
24826: done 1666 episodes, mean reward 0.002, speed 69.08 f/s
24901: done 1670 episodes, mean reward 0.003, speed 68.30 f/s
24978: done 1674 episodes, mean reward 0.003, speed 71.47 f/s
25051: done 1678 episodes, mean reward 0.004, speed 66.66 f/s
25141: done 1682 episodes, mean reward 0.005, speed 70.19 f/s
25214: done 1685 episodes, mean reward 0.006, speed 67.93 f/s
